,Grav. Energy,Grav. Capacity,Voltage,Formula,Index,Cluster
2,403.1472618751239,182.85936621305027,2.2046847816666673,MnO2,mp-1002571_Na,0
7,846.2951622592443,192.22448736286051,4.402639714999995,CoP2O7,mp-1011834_Na,0
11,295.02282961481814,194.12744425733166,1.519737875,VS2,mp-1013526_Na,0
15,507.49460680756664,260.2104028853908,1.9503240499999983,CrN2,mp-1014373_Na,0
16,602.1676221488547,243.81248828406703,2.4697981075,MnO2,mp-1016152_Na,0
17,283.00329495568906,194.12744425733166,1.4578221850000006,VS2,mp-10225_Na,0
22,549.2849994372577,140.33690335197753,3.9140453175000003,CrO2,mp-1041961_Na,0
23,978.2235414471962,235.75841908787925,4.149262390000003,NiO2,mp-1041980_Na,0
29,478.6789706306152,140.33690335197753,3.4109272700000046,CrO2,mp-1047121_Na,0
30,526.1103241772064,134.89951801444377,3.900016337500001,FeO2,mp-1047285_Na,0
31,608.2866568061334,235.2621689598859,2.5855693649999933,CoO2,mp-1062939_Na,0
33,820.4566419971972,217.9264478168327,3.7648328150000014,CrO3,mp-1076642_Na,0
37,795.9034191993943,124.11823175616973,6.412461795000001,V(NF3)2,mp-1079436_Na,0
38,431.09451802163414,169.7880487377037,2.5390156800000017,TiAgF6,mp-10810_Na,0
41,654.3614053217176,192.20273637196746,3.404537405000002,MnPCO7,mp-1101480_Na,0
42,501.9663059019579,136.14248908493354,3.6870657300000027,MnO2,mp-1101481_Na,0
43,812.1705647055006,169.64967404121785,4.787339376250006,Ni3P4O15,mp-1101501_Na,0
44,792.248262547563,159.66119199278907,4.962059049285715,Fe4P9O32,mp-1101549_Na,0
45,651.1368359999101,130.44416021998268,4.99169019833333,Fe3(PO4)4,mp-1101553_Na,0
47,597.3270204228168,235.2621689598859,2.538984585000004,CoO2,mp-1101661_Na,0
49,563.5825267498786,151.5112548823443,3.719740340000004,CoPO4,mp-1101669_Na,0
50,722.5377442970582,189.48825936008305,3.8131003299999997,CoPCO7,mp-1101670_Na,0
51,424.43370176320667,130.82204099922367,3.2443592725000014,V2O5,mp-1101677_Na,0
52,541.0344920938679,156.33161341615192,3.460813077222224,Mn15O32,mp-1101680_Na,0
53,739.5821208829273,199.85318431327562,3.700627154999997,Cr2(PO4)3,mp-1101693_Na,0
54,570.4646281889418,142.23676625366755,4.010669275000003,NiPCO7,mp-1101700_Na,0
55,532.0690932739967,155.01219805030325,3.4324337050000038,MnPO4,mp-1101704_Na,0
58,593.9645496374906,253.01108116342826,2.3475831449999975,VO2,mp-1104369_Na,0
61,504.8947288134418,136.76314062894812,3.691745645,BiF6,mp-1110572_Na,0
62,453.61697989873835,185.6887964360607,2.442888254999999,LiSbF6,mp-1110657_Na,0
67,380.063413686259,175.90906644998063,2.160567509999999,SbF6,mp-1111642_Na,0
72,440.61825618345796,204.7063480628271,2.1524406075,VF3,mp-1120756_Na,0
74,450.8957935107369,116.47996000314578,3.87101604000001,Mn(SiO3)2,mp-1142713_Na,0
80,653.7741693593944,191.57971058248938,3.4125438824999987,FePCO7,mp-1176335_Na,0
81,510.4554643507123,157.21100983951757,3.2469447583333375,Li3Fe2P2(CO7)2,mp-1176351_Na,0
86,545.5349047613195,116.022639266921,4.701969444999998,Fe(SiO3)2,mp-1176384_Na,0
88,549.3908495322665,185.74294200661515,2.9578020225,CuCSO7,mp-1176404_Na,0
93,762.237836118369,198.64275633257955,3.8372294575000008,MnF3,mp-1176437_Na,0
95,569.3227996656547,160.6557771283849,3.5437430875,Fe7(PO4)8,mp-1178257_Na,0
96,792.4432681167666,207.84717365880937,3.812624700000003,FeCSO7,mp-1178258_Na,0
97,655.7809460705441,139.0493578550539,4.716173855,SbO3,mp-1179567_Na,0
98,439.53307410118856,136.14248908493354,3.2284783175000014,MnO2,mp-1179926_Na,0
99,699.2442288090915,163.52901411177717,4.275964315000006,NbO3,mp-1179977_Na,0
108,728.5836017671987,169.4567641364832,4.299525046875,Co3P4O15,mp-1202695_Na,0
109,627.2653384742972,171.97520598585268,3.6474172825000037,Fe3P4O15,mp-1203835_Na,0
118,522.8670776499139,100.31512369660203,5.2122457550000005,K2CrF6,mp-1211950_Na,0
123,413.29667672705006,181.2197203942924,2.28063853,NbO2,mp-1220976_Na,0
126,780.7800246998739,161.7808522962404,4.826158433571427,Cr4P9O32,mp-1221035_Na,0
128,713.8707607997729,235.2621689598859,3.034362744999999,CoO2,mp-1221242_Na,0
129,746.1238676550782,175.60325370136565,4.24891823999999,Cr2(PO4)3,mp-1221294_Na,0
131,908.8974818443508,241.8173621075109,3.7586113500000016,FeO2,mp-1221411_Na,0
142,418.7559396188071,192.6558162987576,2.1735961449999968,CrS2,mp-1238795_Na,0
146,461.8448839983992,154.20331353600366,2.9950386500000006,FePO4,mp-19226_Na,0
148,493.42034557702715,117.98853453089802,4.181934690000015,Cr(SiO3)2,mp-19367_Na,0
149,411.71445527827234,214.53131621183508,1.9191345233333317,CoO3,mp-19427_Na,0
151,477.14444474068523,103.62675301105462,4.604452333749999,LiFe(Si2O5)3,mp-19616_Na,0
153,306.75157722041575,198.54895038384063,1.5449670049999995,TiS2,mp-2156_Na,0
156,494.75724288213746,107.66708799037029,4.595250527499995,CrP2O7,mp-24925_Na,0
157,453.55566984444795,154.20331353600366,2.9412835524999985,FePO4,mp-25001_Na,0
161,782.4826281000267,261.38818070374435,2.9935654549999997,CuO,mp-25229_Na,0
162,274.31351890703877,260.57394406411726,1.0527281225000023,TiO2,mp-25262_Na,0
163,750.1595193431054,226.1068776732949,3.317720924999999,CuO2,mp-25378_Na,0
164,289.5061035711104,260.57394406411726,1.1110324350000014,TiO2,mp-25433_Na,0
165,859.1602501874822,250.51702768837737,3.4295483149999972,CrO2,mp-25499_Na,0
166,452.07084485338214,154.20331353600366,2.931654544166665,FePO4,mp-25527_Na,0
167,654.0331384109336,243.81248828406706,2.6825251774999996,MnO2,mp-25545_Na,0
168,737.5195531685445,235.75841908787925,3.1282851149999997,NiO2,mp-25593_Na,0
169,1145.9539611283656,392.20224515522045,2.921844470000001,NiO2,mp-25599_Na,0
171,438.24169706199456,130.82204099922367,3.3499071999999996,V2O5,mp-25643_Na,0
177,746.7479318295879,172.6998259191352,4.323964589166664,Fe2(PO4)3,mp-31866_Na,0
180,588.8780866505616,176.41591208889244,3.3380100450000096,V2(PO4)3,mp-32469_Na,0
181,942.8542694140574,226.1068776732949,4.169949534999998,CuO2,mp-4541_Na,0
182,563.6163374976078,147.6607622369649,3.8169675474999947,CuPO4,mp-504265_Na,0
185,371.695768277091,147.19572474004545,2.5251804625000025,CuO,mp-510751_Na,0
186,662.0370118000035,151.71691980982314,4.363633354999993,NiPO4,mp-540008_Na,0
187,585.8402929512628,151.5112548823443,3.866645375,CoPO4,mp-540093_Na,0
192,555.6206624735122,172.46779458075957,3.2215908124999992,V3O7,mp-555416_Na,0
198,300.0667497538228,198.54895038384063,1.5112985949999989,TiS2,mp-558110_Na,0
199,746.8427412976331,178.766065941932,4.177765715000002,VF4,mp-559187_Na,0
207,495.90560995680625,144.94963181699046,3.4212271099999993,VPO5,mp-566179_Na,0
208,974.373187826801,249.44680560216014,3.9061361618749997,MnPO4F,mp-566286_Na,0
209,810.8017619201606,195.0185029524368,4.157563255000002,MnP2O7,mp-566311_Na,0
210,599.574817613955,108.11901351047015,5.545507659999994,Mn(PO3)5,mp-567904_Na,0
211,526.7476629138343,162.9745016246124,3.2320863549999954,V2O5,mp-578824_Na,0
214,594.9222207419023,151.5112548823443,3.9265876399999966,CoPO4,mp-619196_Na,0
216,412.7291411344713,178.82858886318252,2.3079595033333318,Ti2(PO4)3,mp-6761_Na,0
217,571.6161109214697,151.5112548823443,3.772763359166663,CoPO4,mp-683773_Na,0
218,824.7687227565197,235.56971826137178,3.501166146666668,Mn3(PO4)4,mp-697730_Na,0
223,306.9526695082967,189.37718860906054,1.6208534500000014,CuO2,mp-754549_Na,0
236,422.86600403620355,215.68943567532074,1.9605318299999985,V3O8,mp-764206_Na,0
248,477.6976314733138,194.99710464839345,2.4497678174999993,VPCO7,mp-768103_Na,0
251,387.7805407229198,180.7311118237108,2.145621397500004,GePCO7,mp-768125_Na,0
260,494.4796475801555,137.52916712290525,3.595452935000002,Fe2P(CO4)4,mp-769570_Na,0
261,591.7883124606205,194.25187118746817,3.0464999325000006,CrPCO7,mp-769599_Na,0
263,856.1293688280547,208.5806991096743,4.1045474125,MnCSO7,mp-769958_Na,0
267,536.4275738356287,157.77056721673316,3.4000484583333304,Li3Mn2P2(CO7)2,mp-770009_Na,0
271,526.2210771458331,157.77056721673316,3.335356438333335,Li3Mn2P2(CO7)2,mp-770254_Na,0
279,567.789214965291,166.03803033697602,3.4196335250000045,MnAsCO7,mp-770900_Na,0
280,373.20877764527546,156.35831696178184,2.3868815225000004,SiSbCO7,mp-770978_Na,0
287,414.35083912584435,168.11926460179197,2.464624385000003,VAsCO7,mp-771418_Na,0
288,580.2402961021772,197.06768153669265,2.9443706425000005,VSiCO7,mp-771420_Na,0
290,507.39661282714985,167.56502210513668,3.0280580425000028,CrAsCO7,mp-771454_Na,0
293,569.0192702922491,165.57287959318256,3.4366695299999988,FeAsCO7,mp-771494_Na,0
301,615.512797059008,164.00839531768284,3.752934695000003,CoAsCO7,mp-772664_Na,0
313,290.47850027219886,194.1274442573317,1.4963288750000026,VS2,mp-9561_Na,0
314,530.269477792173,140.33690335197753,3.778546234999996,CrO2,mvc-10873_Na,0
316,818.4793897433757,141.8245726584166,5.771068965,CrF6,mvc-11142_Na,0
317,614.2013428485544,241.8173621075109,2.5399389749999974,FeO2,mvc-11541_Na,0
318,576.6714081447292,243.81248828406703,2.3652250637500027,MnO2,mvc-11561_Na,0
319,707.4182488179282,235.2621689598859,3.0069358450000037,CoO2,mvc-11564_Na,0
320,412.5552466025204,141.90410840207818,2.9072819050000005,VO2,mvc-11573_Na,0
323,460.6553516600169,134.89951801444377,3.414803540000004,FeO2,mvc-11993_Na,0
325,517.7708776018611,131.1392797371113,3.9482516499999987,NiO2,mvc-12901_Na,0
326,387.9121562689862,177.57725713630813,2.1844698050000018,MoO2,mvc-15431_Na,0
